RE-1_R2_CH26_B  637604356 0 0
RE-1_R2_CH26_C  637637124 0 0
RE+1_R2_CH26_A  637571590 -4.53988 1.39296
RE+1_R2_CH26_B  637604358 -3.88611 1.20072
RE+1_R2_CH26_C  637637126 -3.16088 1.38487
RE-1_R3_CH26_A  637571592 0 0
RE-1_R3_CH26_B  637604360 0 0
RE-1_R3_CH26_C  637637128 0 0
RE+1_R3_CH26_A  637571594 0.195456 3.28746
RE+1_R3_CH26_B  637604362 0.000760819 3.53637
RE+1_R3_CH26_C  637637130 0.377888 3.20296
RE-1_R2_CH32_A  637571716 0 0
RE-1_R2_CH32_B  637604484 0 0
RE-1_R2_CH32_C  637637252 0 0
RE+1_R2_CH32_A  637571718 -4.74344 1.93544
RE+1_R2_CH32_B  637604486 -3.90194 2.45338
RE+1_R2_CH32_C  637637254 -3.35981 1.98123
RE-1_R3_CH32_A  637571720 0 0
RE-1_R3_CH32_B  637604488 0 0
RE-1_R3_CH32_C  637637256 0 0
RE+1_R3_CH32_A  637571722 0 0
RE+1_R3_CH32_B  637604490 0 0
RE+1_R3_CH32_C  637637258 0 0
RE-1_R2_CH03_A  637575172 0 0
RE-1_R2_CH03_B  637607940 0 0
RE-1_R2_CH03_C  637640708 0 0
RE+1_R2_CH03_A  637575174 0.324747 6.23853
RE+1_R2_CH03_B  637607942 0.0777289 5.83588
RE+1_R2_CH03_C  637640710 0.138525 5.19728
RE-1_R3_CH03_A  637575176 0 0
RE-1_R3_CH03_B  637607944 0 0
RE-1_R3_CH03_C  637640712 0 0
RE+1_R3_CH03_A  637575178 0.257915 3.2498
RE+1_R3_CH03_B  637607946 0.598717 3.58513
RE+1_R3_CH03_C  637640714 1.11451 3.28177
RE-1_R2_CH09_A  637575300 0 0
RE-1_R2_CH09_B  637608068 0 0
RE-1_R2_CH09_C  637640836 0 0
RE+1_R2_CH09_A  637575302 0.7573 6.01511
RE+1_R2_CH09_B  637608070 0.0833261 5.55891
RE+1_R2_CH09_C  637640838 0.402217 4.83331
RE-1_R3_CH09_A  637575304 0 0
RE-1_R3_CH09_B  637608072 0 0
RE-1_R3_CH09_C  637640840 0 0
RE+1_R3_CH09_A  637575306 0.344108 2.40089
RE+1_R3_CH09_B  637608074 0.295921 2.79811
RE+1_R3_CH09_C  637640842 0.072219 2.36366
RE-1_R2_CH15_A  637575428 0 0
RE-1_R2_CH15_B  637608196 0 0
RE-1_R2_CH15_C  637640964 0 0
RE+1_R2_CH15_A  637575430 0.225955 6.27246
RE+1_R2_CH15_B  637608198 -0.129441 5.49564
RE+1_R2_CH15_C  637640966 0.372307 4.69845
RE-1_R3_CH15_A  637575432 0 0
RE-1_R3_CH15_B  637608200 0 0
RE-1_R3_CH15_C  637640968 0 0
RE+1_R3_CH15_A  637575434 0 0
RE+1_R3_CH15_B  637608202 0 0
RE+1_R3_CH15_C  637640970 0 0
RE-1_R2_CH21_A  637575556 0 0
RE-1_R2_CH21_B  637608324 0 0
RE-1_R2_CH21_C  637641092 0 0
RE+1_R2_CH21_A  637575558 -0.207667 5.48163
RE+1_R2_CH21_B  637608326 0.475845 5.29137
RE+1_R2_CH21_C  637641094 -0.235976 4.24413
RE-1_R3_CH21_A  637575560 0 0
RE-1_R3_CH21_B  637608328 0 0
RE-1_R3_CH21_C  637641096 0 0
RE+1_R3_CH21_A  637575562 0.188931 3.45185
RE+1_R3_CH21_B  637608330 1.29915 3.67002
RE+1_R3_CH21_C  637641098 1.2318 3.43026
RE-1_R2_CH27_A  637575684 0 0
RE-1_R2_CH27_B  637608452 0 0
RE-1_R2_CH27_C  637641220 0 0
RE+1_R2_CH27_A  637575686 0.237755 6.02482
RE+1_R2_CH27_B  637608454 -0.494771 5.15179
RE+1_R2_CH27_C  637641222 0.179837 4.35739
RE-1_R3_CH27_A  637575688 0 0
RE-1_R3_CH27_B  637608456 0 0
RE-1_R3_CH27_C  637641224 0 0
RE+1_R3_CH27_A  637575690 0 0
RE+1_R3_CH27_B  637608458 0 0
RE+1_R3_CH27_C  637641226 0 0
RE-1_R2_CH33_A  637575812 0 0
RE-1_R2_CH33_B  637608580 0 0
RE-1_R2_CH33_C  637641348 0 0
RE+1_R2_CH33_A  637575814 0.612478 5.56897
RE+1_R2_CH33_B  637608582 -0.453992 5.85302
RE+1_R2_CH33_C  637641350 0.189806 4.70922
RE-1_R3_CH33_A  637575816 0 0
RE-1_R3_CH33_B  637608584 0 0
RE-1_R3_CH33_C  637641352 0 0
RE+1_R3_CH33_A  637575818 0 0
RE+1_R3_CH33_B  637608586 0 0
RE+1_R3_CH33_C  637641354 0 0
RE-1_R2_CH04_A  637579268 0 0
RE-1_R2_CH04_B  637612036 0 0
RE-1_R2_CH04_C  637644804 0 0
RE+1_R2_CH04_A  637579270 -4.30124 1.42752
RE+1_R2_CH04_B  637612038 -3.74783 1.2903
RE+1_R2_CH04_C  637644806 -3.10326 1.32218
RE-1_R3_CH04_A  637579272 0 0
RE-1_R3_CH04_B  637612040 0 0
RE-1_R3_CH04_C  637644808 0 0
RE+1_R3_CH04_A  637579274 -0.050719 3.22948
RE+1_R3_CH04_B  637612042 0.450975 3.4971
RE+1_R3_CH04_C  637644810 0.755164 3.16401
RE-1_R2_CH10_A  637579396 0 0
RE-1_R2_CH10_B  637612164 0 0
RE-1_R2_CH10_C  637644932 0 0
RE+1_R2_CH10_A  637579398 0 0
RE+1_R2_CH10_B  637612166 0 0
RE+1_R2_CH10_C  637644934 0 0
RE-1_R3_CH10_A  637579400 0 0
RE-1_R3_CH10_B  637612168 0 0
RE-1_R3_CH10_C  637644936 0 0
RE+1_R3_CH10_A  637579402 0.235776 2.79507
RE+1_R3_CH10_B  637612170 -0.151435 3.09161
RE+1_R3_CH10_C  637644938 -0.208582 2.79148
RE-1_R2_CH16_A  637579524 0 0
RE-1_R2_CH16_B  637612292 0 0
RE-1_R2_CH16_C  637645060 0 0
RE+1_R2_CH16_A  637579526 -4.81578 1.73057
RE+1_R2_CH16_B  637612294 -4.03338 1.79312
RE+1_R2_CH16_C  637645062 -3.19719 1.97539
RE-1_R3_CH16_A  637579528 0 0
RE-1_R3_CH16_B  637612296 0 0
RE-1_R3_CH16_C  637645064 0 0
RE+1_R3_CH16_A  637579530 -0.456201 3.22155
RE+1_R3_CH16_B  637612298 -0.420489 3.41649
RE+1_R3_CH16_C  637645066 -1.16272 3.34558
RE-1_R2_CH22_A  637579652 0 0
RE-1_R2_CH22_B  637612420 0 0
RE-1_R2_CH22_C  637645188 0 0
RE+1_R2_CH22_A  637579654 -4.38035 1.85336
RE+1_R2_CH22_B  637612422 -3.68764 1.58175
RE+1_R2_CH22_C  637645190 -2.92636 1.82313
RE-1_R3_CH22_A  637579656 0 0
RE-1_R3_CH22_B  637612424 0 0
RE-1_R3_CH22_C  637645192 0 0
RE+1_R3_CH22_A  637579658 0.247868 4.27561
RE+1_R3_CH22_B  637612426 0.431065 4.06002
RE+1_R3_CH22_C  637645194 0.746574 3.64692
RE-1_R2_CH28_A  637579780 0 0
RE-1_R2_CH28_B  637612548 0 0
RE-1_R2_CH28_C  637645316 0 0
RE+1_R2_CH28_A  637579782 0 0
RE+1_R2_CH28_B  637612550 0 0
RE+1_R2_CH28_C  637645318 0 0
RE-1_R3_CH28_A  637579784 0 0
RE-1_R3_CH28_B  637612552 0 0
RE-1_R3_CH28_C  637645320 0 0
RE+1_R3_CH28_A  637579786 0.425748 3.22169
RE+1_R3_CH28_B  637612554 -0.429187 3.46835
RE+1_R3_CH28_C  637645322 -0.853306 3.04009
RE-1_R2_CH34_A  637579908 0 0
RE-1_R2_CH34_B  637612676 0 0
RE-1_R2_CH34_C  637645444 0 0
RE+1_R2_CH34_A  637579910 -4.57596 1.61599
RE+1_R2_CH34_B  637612678 -4.15981 1.73849
RE+1_R2_CH34_C  637645446 -3.25214 1.81904
RE-1_R3_CH34_A  637579912 0 0
RE-1_R3_CH34_B  637612680 0 0
RE-1_R3_CH34_C  637645448 0 0
RE+1_R3_CH34_A  637579914 0.441578 4.16331
RE+1_R3_CH34_B  637612682 -0.271137 3.71213
RE+1_R3_CH34_C  637645450 -0.848876 3.98032
RE-1_R2_CH05_A  637583364 0 0
RE-1_R2_CH05_B  637616132 0 0
RE-1_R2_CH05_C  637648900 0 0
RE+1_R2_CH05_A  637583366 -0.361146 6.49259
RE+1_R2_CH05_B  637616134 0.0652794 5.60054
RE+1_R2_CH05_C  637648902 0.0594654 4.74827
RE-1_R3_CH05_A  637583368 0 0
RE-1_R3_CH05_B  637616136 0 0
RE-1_R3_CH05_C  637648904 0 0
RE+1_R3_CH05_A  637583370 -0.0483824 3.05765
RE+1_R3_CH05_B  637616138 0.490855 3.23435
RE+1_R3_CH05_C  637648906 0.735156 2.9253
RE-1_R2_CH11_A  637583492 0 0
RE-1_R2_CH11_B  637616260 0 0
RE-1_R2_CH11_C  637649028 0 0
RE+1_R2_CH11_A  637583494 1.29604 6.17229
RE+1_R2_CH11_B  637616262 0.285687 5.6957
RE+1_R2_CH11_C  637649030 0.348024 4.3666
RE-1_R3_CH11_A  637583496 0 0
RE-1_R3_CH11_B  637616264 0 0
RE-1_R3_CH11_C  637649032 0 0
RE+1_R3_CH11_A  637583498 0.346959 2.51031
RE+1_R3_CH11_B  637616266 -0.329707 2.69114
RE+1_R3_CH11_C  637649034 -0.46506 2.44644
RE-1_R2_CH17_A  637583620 0 0
RE-1_R2_CH17_B  637616388 0 0
RE-1_R2_CH17_C  637649156 0 0
RE+1_R2_CH17_A  637583622 0.153824 6.55172
RE+1_R2_CH17_B  637616390 -1.28353 5.51675
RE+1_R2_CH17_C  637649158 -0.50426 4.21252
RE-1_R3_CH17_A  637583624 0 0
RE-1_R3_CH17_B  637616392 0 0
RE-1_R3_CH17_C  637649160 0 0
RE+1_R3_CH17_A  637583626 -0.353196 3.30316
RE+1_R3_CH17_B  637616394 -0.574228 3.41917
RE+1_R3_CH17_C  637649162 -0.5189 3.31466
RE-1_R2_CH23_A  637583748 0 0
RE-1_R2_CH23_B  637616516 0 0
RE-1_R2_CH23_C  637649284 0 0
RE+1_R2_CH23_A  637583750 0.143267 5.9018
RE+1_R2_CH23_B  637616518 -0.138984 5.66321
RE+1_R2_CH23_C  637649286 -0.280473 4.54325
RE-1_R3_CH23_A  637583752 0 0
RE-1_R3_CH23_B  637616520 0 0
RE-1_R3_CH23_C  637649288 0 0
RE+1_R3_CH23_A  637583754 0.0320384 3.23528
RE+1_R3_CH23_B  637616522 0.379303 4.03755
RE+1_R3_CH23_C  637649290 1.11852 2.79356
RE-1_R2_CH29_A  637583876 0 0
RE-1_R2_CH29_B  637616644 0 0
RE-1_R2_CH29_C  637649412 0 0
RE+1_R2_CH29_A  637583878 -0.34113 5.87119
RE+1_R2_CH29_B  637616646 0.149286 5.72423
RE+1_R2_CH29_C  637649414 -0.606595 4.48897
RE-1_R3_CH29_A  637583880 0 0
RE-1_R3_CH29_B  637616648 0 0
RE-1_R3_CH29_C  637649416 0 0
RE+1_R3_CH29_A  637583882 -0.240425 2.56776
RE+1_R3_CH29_B  637616650 -0.728186 3.19454
