RE+1_R2_CH27_B  637608454 0.14589 0.958317
RE+1_R2_CH27_C  637641222 0.214838 1.00734
RE-1_R3_CH27_A  637575688 0.0770769 1.40326
RE-1_R3_CH27_B  637608456 -0.0319828 1.46259
RE-1_R3_CH27_C  637641224 -0.255062 1.25659
RE+1_R3_CH27_A  637575690 0.325383 1.50838
RE+1_R3_CH27_B  637608458 0.229563 1.54195
RE+1_R3_CH27_C  637641226 0.109232 1.31189
RE-1_R2_CH33_A  637575812 -0.208734 0.998224
RE-1_R2_CH33_B  637608580 -0.173448 0.970043
RE-1_R2_CH33_C  637641348 -0.046558 0.967235
RE+1_R2_CH33_A  637575814 0.105489 1.02582
RE+1_R2_CH33_B  637608582 0.152367 1.99058
RE+1_R2_CH33_C  637641350 0.0785131 1.03616
RE-1_R3_CH33_A  637575816 -0.0103522 1.49589
RE-1_R3_CH33_B  637608584 -0.0406379 1.50909
RE-1_R3_CH33_C  637641352 -0.131591 1.28587
RE+1_R3_CH33_A  637575818 0.570716 1.51744
RE+1_R3_CH33_B  637608586 0.454681 1.54529
RE+1_R3_CH33_C  637641354 0.395526 1.2935
RE-1_R2_CH04_A  637579268 -0.012185 1.03597
RE-1_R2_CH04_B  637612036 0.0123005 0.999544
RE-1_R2_CH04_C  637644804 -0.00617919 1.12548
RE+1_R2_CH04_A  637579270 0.15714 1.10403
RE+1_R2_CH04_B  637612038 0.219272 1.04953
RE+1_R2_CH04_C  637644806 0.275678 1.14074
RE-1_R3_CH04_A  637579272 0.285004 1.58573
RE-1_R3_CH04_B  637612040 0.264835 1.52764
RE-1_R3_CH04_C  637644808 0.0936115 1.26017
RE+1_R3_CH04_A  637579274 0.460672 1.38526
RE+1_R3_CH04_B  637612042 0.357159 1.46469
RE+1_R3_CH04_C  637644810 0.417674 1.73726
RE-1_R2_CH10_A  637579396 -0.037892 1.05637
RE-1_R2_CH10_B  637612164 -0.0201356 1.01258
RE-1_R2_CH10_C  637644932 -0.0562567 1.13784
RE+1_R2_CH10_A  637579398 0.0995756 1.06946
RE+1_R2_CH10_B  637612166 0.150075 1.03558
RE+1_R2_CH10_C  637644934 0.219973 1.1369
RE-1_R3_CH10_A  637579400 10.7344 3.8368
RE-1_R3_CH10_B  637612168 0.9614 8.61806
RE-1_R3_CH10_C  637644936 -8.31523 3.1214
RE+1_R3_CH10_A  637579402 0.169076 1.41886
RE+1_R3_CH10_B  637612170 0.0717255 1.48729
RE+1_R3_CH10_C  637644938 0.0848385 1.14771
RE-1_R2_CH16_A  637579524 -0.0757411 1.04376
RE-1_R2_CH16_B  637612292 -0.129554 0.985494
RE-1_R2_CH16_C  637645060 -0.22923 1.12307
RE+1_R2_CH16_A  637579526 0.0368492 1.09819
RE+1_R2_CH16_B  637612294 -0.0160199 1.02026
RE+1_R2_CH16_C  637645062 -0.115985 1.11736
RE-1_R3_CH16_A  637579528 -0.010365 1.57415
RE-1_R3_CH16_B  637612296 -0.02287 1.59699
RE-1_R3_CH16_C  637645064 -0.181073 1.27751
RE+1_R3_CH16_A  637579530 0.109728 1.48675
RE+1_R3_CH16_B  637612298 0.0242622 1.55206
RE+1_R3_CH16_C  637645066 -0.0186135 1.26162
RE-1_R2_CH22_A  637579652 -0.113981 1.06828
RE-1_R2_CH22_B  637612420 0.0815535 0.976535
RE-1_R2_CH22_C  637645188 0.153741 1.13202
RE+1_R2_CH22_A  637579654 -0.0702237 1.08859
RE+1_R2_CH22_B  637612422 -0.0586907 1.07596
RE+1_R2_CH22_C  637645190 0.00985114 1.13039
RE-1_R3_CH22_A  637579656 -0.00905814 1.47309
RE-1_R3_CH22_B  637612424 -0.0954318 1.51014
RE-1_R3_CH22_C  637645192 -0.285102 1.27246
RE+1_R3_CH22_A  637579658 0.5492 1.5097
RE+1_R3_CH22_B  637612426 0.396718 1.56918
RE+1_R3_CH22_C  637645194 0.22769 1.22614
RE-1_R2_CH28_A  637579780 0.213405 1.10455
RE-1_R2_CH28_B  637612548 0.176008 1.00592
RE-1_R2_CH28_C  637645316 0.111686 1.11537
RE+1_R2_CH28_A  637579782 -0.181941 1.32897
RE+1_R2_CH28_B  637612550 -0.270194 1.34739
RE+1_R2_CH28_C  637645318 -0.25181 1.36393
RE-1_R3_CH28_A  637579784 0.05123 1.37762
RE-1_R3_CH28_B  637612552 -0.00459375 1.54445
RE-1_R3_CH28_C  637645320 0.0152479 1.25701
RE+1_R3_CH28_A  637579786 0.124511 1.44812
RE+1_R3_CH28_B  637612554 0.106287 1.47802
RE+1_R3_CH28_C  637645322 0.111747 1.30258
RE-1_R2_CH34_A  637579908 -0.000940473 1.07259
RE-1_R2_CH34_B  637612676 0.126904 1.0039
RE-1_R2_CH34_C  637645444 0.168852 1.13459
RE+1_R2_CH34_A  637579910 -0.102739 1.17122
RE+1_R2_CH34_B  637612678 -0.187762 1.05342
RE+1_R2_CH34_C  637645446 -0.249635 1.11712
RE-1_R3_CH34_A  637579912 -0.116799 1.55761
RE-1_R3_CH34_B  637612680 -0.251825 1.55006
RE-1_R3_CH34_C  637645448 -0.354744 1.27315
RE+1_R3_CH34_A  637579914 0.234802 1.4294
RE+1_R3_CH34_B  637612682 0.302592 1.52482
RE+1_R3_CH34_C  637645450 0.217532 1.16848
RE-1_R2_CH05_A  637583364 0.0368479 1.04452
RE-1_R2_CH05_B  637616132 0.120548 0.982304
RE-1_R2_CH05_C  637648900 0.0730936 0.965755
RE+1_R2_CH05_A  637583366 -0.0128309 1.03846
RE+1_R2_CH05_B  637616134 -0.0540689 0.999982
RE+1_R2_CH05_C  637648902 -0.0865141 1.03165
RE-1_R3_CH05_A  637583368 -0.159846 1.50384
RE-1_R3_CH05_B  637616136 -0.241717 1.5502
RE-1_R3_CH05_C  637648904 -0.226669 1.36503
RE+1_R3_CH05_A  637583370 0.229506 1.38606
RE+1_R3_CH05_B  637616138 0.116532 1.5307
RE+1_R3_CH05_C  637648906 -0.00587116 1.25164
RE-1_R2_CH11_A  637583492 0.155766 1.06928
RE-1_R2_CH11_B  637616260 0.0563768 0.979841
RE-1_R2_CH11_C  637649028 -0.0734223 1.01425
RE+1_R2_CH11_A  637583494 0 0
RE+1_R2_CH11_B  637616262 0 0
RE+1_R2_CH11_C  637649030 0 0
RE-1_R3_CH11_A  637583496 0.119153 1.46012
RE-1_R3_CH11_B  637616264 -0.000285596 1.53851
RE-1_R3_CH11_C  637649032 -0.0425815 1.36758
RE+1_R3_CH11_A  637583498 0.0267745 1.55829
RE+1_R3_CH11_B  637616266 -0.0990928 1.5922
RE+1_R3_CH11_C  637649034 -0.156105 1.31488
RE-1_R2_CH17_A  637583620 0.0359258 1.06849
RE-1_R2_CH17_B  637616388 0.0214845 0.978081
RE-1_R2_CH17_C  637649156 -0.0102837 1.0131
RE+1_R2_CH17_A  637583622 -0.0873978 1.17989
RE+1_R2_CH17_B  637616390 -0.0127062 1.10679
RE+1_R2_CH17_C  637649158 0.107879 1.05507
RE-1_R3_CH17_A  637583624 0.134277 1.49492
RE-1_R3_CH17_B  637616392 0.0789281 1.55987
RE-1_R3_CH17_C  637649160 -0.010323 1.38476
RE+1_R3_CH17_A  637583626 0.146446 1.39812
RE+1_R3_CH17_B  637616394 0.104514 1.55032
RE+1_R3_CH17_C  637649162 -0.0572586 1.28815
RE-1_R2_CH23_A  637583748 0.299338 1.02279
RE-1_R2_CH23_B  637616516 0.174569 0.97804
RE-1_R2_CH23_C  637649284 0.00766296 1.0017
RE+1_R2_CH23_A  637583750 0.0674378 1.11126
RE+1_R2_CH23_B  637616518 0.145067 1.01256
RE+1_R2_CH23_C  637649286 0.201857 1.01986
RE-1_R3_CH23_A  637583752 0.399544 1.54119
RE-1_R3_CH23_B  637616520 0.306934 1.60737
RE-1_R3_CH23_C  637649288 0.24043 1.3688
RE+1_R3_CH23_A  637583754 -0.0938199 1.52139
RE+1_R3_CH23_B  637616522 -0.286892 1.52045
RE+1_R3_CH23_C  637649290 -0.460632 1.22062
RE-1_R2_CH29_A  637583876 0.289692 1.05406
RE-1_R2_CH29_B  637616644 0.204455 0.978471
RE-1_R2_CH29_C  637649412 0.0875915 1.05202
RE+1_R2_CH29_A  637583878 0.0469711 1.16017
RE+1_R2_CH29_B  637616646 0 0
RE+1_R2_CH29_C  637649414 0.0853639 1.06021
RE-1_R3_CH29_A  637583880 -0.0858991 1.45663
RE-1_R3_CH29_B  637616648 -0.337068 1.51554
RE-1_R3_CH29_C  637649416 -0.532151 1.26875
RE+1_R3_CH29_A  637583882 0.104975 1.50041
RE+1_R3_CH29_B  637616650 -0.0346712 1.49863
RE+1_R3_CH29_C  637649418 -0.245308 1.29175
RE-1_R2_CH35_A  637584004 0.135536 1.03313
RE-1_R2_CH35_B  637616772 0.0970715 1.01597
RE-1_R2_CH35_C  637649540 0.0646159 1.01557
RE+1_R2_CH35_A  637584006 0.217141 0.979911
RE+1_R2_CH35_B  637616774 0.123298 0.995141
RE+1_R2_CH35_C  637649542 -0.0194973 1.02392
RE-1_R3_CH35_A  637584008 -0.091604 1.53426
RE-1_R3_CH35_B  637616776 -0.238935 1.57808
RE-1_R3_CH35_C  637649544 -0.398037 1.32191
RE+1_R3_CH35_A  637584010 0.664457 1.36768
RE+1_R3_CH35_B  637616778 0.390465 1.50297
